USERID,ZDATE,ZTDATE,VERSION,LASTNAME,FIRSTNAME,FUNCTION,DEPARTMENT,COMPANY,USERTYPE,USERGROUP,LASTLOGONDATE,LASTLOGONTIME,EXPIRATIONSTARTDATE,EXPIRATIONENDDATE,USERLOCKSTATUS,ASSIGNEDROLE,TCDNUM,USEDTCD,ASSIGNEDTYPID,ROLETYPID,TCDTYPID
SOLME,202508,,1.68,SOLME,,,,ATNS Group,A,,2025-08-01,오후 5:56:30,2025-01-01,2030-12-31,0,9,20,0,GB,GB Advanced Use,
TESE_BC_IC,202508,,1.68,테스트,사용자,,,ATNS Group,A,,,오전 12:00:00,,,0,1,1,0,,GB Advanced Use,
TEST01,202508,,1.68,01,,,,ATNS Group,A,,2024-07-01,오후 4:28:46,,,0,3,1,0,,GB Advanced Use,
TESTS,202508,,1.68,das,,,,ATNS Group,A,,,오전 12:00:00,,,0,0,0,0,,GB Advanced Use,
TEST_BC01,202508,,1.68,테스트,사용자,,,ATNS Group,A,,,오전 12:00:00,,,0,1,2,0,,GB Advanced Use,
TEST_BC02,202508,,1.68,테스트,사용자,,,ATNS Group,A,,,오전 12:00:00,,,0,0,0,0,,GB Advanced Use,
TEST_BC_IN,202508,,1.68,테스트1,,,,ATNS Group,A,,,오전 12:00:00,,,0,1,1,0,,GB Advanced Use,
TEST_HMODI,202508,,1.68,TEST_HMODI,,,,ATNS Group,A,,2024-04-11,오후 10:38:53,,,0,8,19,0,,GB Advanced Use,
TEST_USER,202508,,,K,,,,Company address - please maintain,A,,,오전 12:00:00,,,0,0,0,0,,,
TEST_YOON,202508,,1.68,Yoo,,,,ATNS Group,A,,2024-06-11,오전 11:08:33,,,0,0,0,0,,GB Advanced Use,
WHLEE,202508,,1.68,WHLEE,,,,ATNS Group,A,,2025-03-06,오전 10:25:15,,,0,21,50,0,,GB Advanced Use,
WSKIM,202508,,1.68,woo sik,kim,,,ATNS Group,A,,2024-01-17,오전 11:45:33,,,0,0,0,0,,GB Advanced Use,
XITING,202508,,1.68,Xiting,,,,ATNS Group,A,,2024-07-02,오후 12:14:41,,,0,21,522,0,,GB Advanced Use,
YOON0991,202508,202504,1.68,yoon,,,,ATNS Group,A,,2025-07-29,오전 11:13:49,,,0,6,50,9,,GB Advanced Use,GB Advanced Use
YOON0991,202508,202505,1.68,yoon,,,,ATNS Group,A,,2025-07-29,오전 11:13:49,,,0,6,50,4,,GB Advanced Use,
YOON0991T,202508,,1.68,윤,성현,,,ATNS Group,A,,2024-07-04,오전 12:00:00,,,0,2,2,0,,GD Self-Service Use,
YOON0992,202508,,1.68,yoon,,,,ATNS Group,S,,2024-01-11,오전 11:04:01,,,0,0,0,0,,GB Advanced Use,
YSH,202508,202505,1.68,윤,승현,,,ATNS Group,A,,2025-07-31,오후 1:16:46,,,0,5,12,7,,GB Advanced Use,GB Advanced Use
ZSU24_TEST,202508,202504,1.68,SU24,,,,ATNS Group,A,,2025-04-08,오후 3:12:32,,,0,1,1,2,,GD Self-Service Use,GB Advanced Use
ZTESTCOMP,202508,,1.68,Test,,,,Company address - please maintain,A,,,오전 12:00:00,,,0,3,2,0,,GB Advanced Use,
ZTEST_01,202508,,,피오리 테스트 생성,,,,ATNS Group,A,,,오전 12:00:00,,,0,0,0,0,,,
ZTEST_02,202508,,,왜 생성?,,,,ATNS Group,A,,,오전 12:00:00,,,0,0,0,0,,,
ZTEST_USR,202508,,,yon,,,,ATNS Group,A,,2024-03-26,오후 1:44:10,,,0,1,1,0,,Not classified,
ZXITING_ATNS,202508,,1.68,Xiting AG,,,,ATNS Group,B,SUPER,2024-07-02,오후 4:28:54,,,0,1,0,0,,GB Advanced Use,
ZXITING_REF,202508,,,Xiting Reference User,,,,ATNS Group,L,,,오전 12:00:00,,,0,0,0,0,,,
